innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,innodb_stats_include_delete_marked,rpl_read_size,innodb_buffer_pool_instances,innodb_log_spin_cpu_abs_lwm,innodb_log_spin_cpu_pct_hwm,performance
435305472,34,1,2,456704,3510272,43848704,1024,88054784,16026624,1,51,4096,600538076,91,38.34
413961216,14,0,0,3289088,2785280,7017472,7168,41083904,36624384,0,51,2048,374716122,23,41
547111936,47,0,2,2249728,15648768,5997568,36864,106678272,42412032,1,45,3072,244570332,1,40.32
417800192,21,0,2,14240768,14441472,52775936,34816,91395072,1293312,1,20,3072,263251659,99,39.56
502909952,9,1,0,14025728,6422528,60441600,40960,67035136,17516544,1,35,2048,938034038,77,39.78
613190656,31,1,0,919552,10423296,7879680,4096,62204928,24672256,1,48,2048,195571420,99,38.94
995853312,31,1,2,7829504,14392320,57959424,43008,124145664,20123648,1,13,7168,41539136,34,39.44
785267712,12,1,2,11147264,12071936,6133760,30720,126278656,10150912,0,43,6144,102279416,77,40.53
892871680,22,0,0,11374592,10474496,32742400,34816,13553664,29443072,0,34,5120,1734682048,28,40.55
480073728,25,1,2,15805440,10812416,31263744,34816,131561472,46440448,1,54,6144,481907498,88,38.98
228317184,10,1,0,8786944,12271616,54847488,33792,89369600,13209600,0,26,7168,1622631962,34,38.95
703518720,26,0,2,2535424,15949824,59857920,16384,54587392,41797632,0,30,7168,112808749,66,39.86
379071488,29,1,0,4974592,1216512,32152576,37888,49832960,64709632,0,38,7168,710598001,86,38.43
725695488,34,0,2,3681280,197632,38064128,40960,60747776,14525440,1,46,2048,57443943,71,40.12
2567772160,26,1,2,6879232,9546752,26004480,48128,21275648,1676288,0,16,3072,692048031,36,34.25
1030348800,38,1,2,8028160,2174976,59765760,35840,31202304,20560896,0,6,4096,408855817,94,39.44
316735488,23,1,2,4900864,9077760,61283328,12288,42380288,58829824,0,30,3072,107583044,44,40.18
1069265920,29,0,2,6915072,4716544,30178304,49152,56687616,62046208,0,46,4096,709714872,17,40
522848256,34,0,2,13411328,7753728,35969024,32768,67829760,46416896,1,4,6144,454917747,99,39.64
882634752,16,1,2,7712768,4093952,11601920,26624,24407040,37965824,0,36,4096,467446582,6,39.75
696054784,20,0,2,11521024,12430336,50835456,20480,98998272,19835904,0,36,4096,1344533252,67,39.39
